Nome,Dono,Idade (anos),Dias desde última atualização,Linguagem,Releases,Pull Requests,Issues Fechadas,Total Issues,Taxa de Fechamento de Issues,Stars
serenity,SerenityOS,6,0,C++,0,19166,3495,4211,0.8299691284730468,31088
learnGitBranching,pcottle,12,0,JavaScript,0,587,459,501,0.9161676646706587,31068
bruno,usebruno,2,0,JavaScript,123,918,1266,2354,0.5378079864061173,31057
swr,vercel,5,0,TypeScript,118,780,808,935,0.8641711229946524,31025
vimrc,amix,12,0,Vim Script,0,107,510,516,0.9883720930232558,31017
rxjs,ReactiveX,9,0,TypeScript,2,2587,2936,3155,0.9305863708399366,31012
html2canvas,niklasvh,13,0,TypeScript,45,186,1657,2601,0.6370626682045367,30974
fairseq,facebookresearch,7,0,Python,16,233,3054,4218,0.7240398293029872,30970
MS-DOS,microsoft,6,0,Assembly,0,37,0,0,0,30949
jQuery-File-Upload,blueimp,14,0,PHP,0,119,3258,3307,0.9851829452676142,30946
HowToLiveLonger,geekan,2,0,Unknown,0,13,103,129,0.7984496124031008,30933
remote-jobs,remoteintech,9,0,JavaScript,0,1250,159,179,0.888268156424581,30932
spaCy,explosion,10,0,Python,127,3581,5523,5682,0.9720168954593453,30912
llvm-project,llvm,8,0,LLVM,123,37465,55751,80509,0.6924815859096498,30885
OpenVoice,myshell-ai,1,0,Python,0,17,55,272,0.20220588235294118,30881
Blog,mqyqingfeng,7,0,Unknown,0,3,100,324,0.30864197530864196,30878
lottie-web,airbnb,9,0,JavaScript,0,136,2122,2880,0.7368055555555556,30870
ShareX,ShareX,11,0,C#,80,743,6048,6625,0.9129056603773585,30826
nacos,alibaba,6,0,Java,76,2942,8570,8798,0.9740850193225733,30825
pnpm,pnpm,9,0,TypeScript,982,2417,2810,4517,0.6220943103829976,30787
pytorch-tutorial,yunjey,7,0,Python,0,28,113,179,0.6312849162011173,30766
aseprite,aseprite,10,0,C++,114,344,2370,4045,0.5859085290482077,30728
remix,remix-run,4,0,TypeScript,155,3363,2301,2577,0.8928987194412107,30704
floating-ui,floating-ui,8,0,TypeScript,467,1111,1381,1411,0.9787384833451452,30659
chatbox,Bin-Huang,1,0,TypeScript,47,53,1290,1771,0.7284020327498588,30650
etcher,balena-io,9,0,TypeScript,283,1725,1807,2300,0.7856521739130434,30602
dotfiles,mathiasbynens,13,0,Shell,0,44,248,392,0.6326530612244898,30568
p3c,alibaba,7,1,Kotlin,0,62,698,858,0.8135198135198135,30553
WxJava,binarywang,9,0,Java,30,987,2237,2265,0.9876379690949227,30525
libpku,lib-pku,6,0,TeX,0,22,31,41,0.7560975609756098,30510
cockroach,cockroachdb,11,0,Go,0,62988,64563,70495,0.9158521880984467,30501
echo,labstack,9,0,Go,108,586,1381,1435,0.9623693379790941,30459
crawl4ai,unclecode,0,0,Python,0,44,403,443,0.909706546275395,30405
v2ray-core,v2fly,5,0,Go,98,862,969,1003,0.9661016949152542,30381
LocalAI,mudler,1,0,Go,69,3036,537,938,0.5724946695095949,30378
spring-boot-examples,ityouknow,8,0,Java,0,7,99,108,0.9166666666666666,30370
slate,ianstormtaylor,8,0,TypeScript,186,1878,2502,3154,0.7932783766645529,30352
YesPlayMusic,qier222,4,0,Vue,31,283,1188,1781,0.6670409882088714,30325
linux-insides,0xAX,10,0,Python,0,577,152,184,0.8260869565217391,30323
lede,coolsnowwolf,7,0,C,6,1987,8180,8922,0.9168347904057387,30315
NeteaseCloudMusicApi,Binaryify,8,1,Unknown,0,292,1190,1337,0.8900523560209425,30308
rufus,pbatard,13,0,C,81,1,2423,2431,0.9967091731797614,30241
mmdetection,open-mmlab,6,0,Python,53,2359,6732,8427,0.7988608045567818,30236
CyberChef,gchq,8,0,JavaScript,447,466,596,1005,0.5930348258706468,30226
Sortable,SortableJS,11,0,JavaScript,30,246,1342,1800,0.7455555555555555,30054
calculator,microsoft,6,0,C++,0,877,713,1074,0.6638733705772812,30039
HEAD,joshbuchea,8,0,Unknown,0,86,73,93,0.7849462365591398,30017
symfony,symfony,15,0,PHP,537,23408,20210,20724,0.975197838255163,30011
layui,layui,9,0,JavaScript,135,532,1155,1202,0.9608985024958403,29957
webtorrent,webtorrent,11,0,JavaScript,210,933,1584,1652,0.9588377723970944,29922
interactive-coding-challenges,donnemartin,9,0,Python,0,176,32,68,0.47058823529411764,29912
minikube,kubernetes,8,0,Go,150,8392,9340,9843,0.948897693792543,29912
manim,ManimCommunity,4,0,Python,29,1832,1178,1589,0.7413467589679044,29904
dokku,dokku,11,0,Shell,294,3912,2718,2762,0.9840695148443157,29894
chatbot-ui,mckaywrigley,1,0,TypeScript,0,281,814,973,0.8365878725590956,29892
go-zero,zeromicro,4,0,Go,125,2165,1511,1729,0.8739155581260845,29888
qBittorrent,qbittorrent,13,0,C++,0,3714,13557,16372,0.8280601026142194,29871
refine,refinedev,4,0,TypeScript,1000,4306,1555,1580,0.9841772151898734,29858
bulletproof-react,alan2207,3,0,TypeScript,0,69,76,107,0.7102803738317757,29857
sharp,lovell,11,0,JavaScript,88,288,3765,3891,0.9676175790285274,29856
outline,outline,8,0,TypeScript,141,2621,2996,3106,0.9645846748229234,29832
tabby,TabbyML,1,0,Rust,185,2644,657,817,0.8041615667074663,29818
stanford_alpaca,tatsu-lab,1,0,Python,0,6,98,271,0.36162361623616235,29817
sequelize,sequelize,14,0,TypeScript,483,4839,9503,10367,0.9166586283399247,29775
vue-cli,vuejs,9,0,JavaScript,177,1258,4558,5492,0.8299344501092498,29762
jsPDF,parallax,15,0,JavaScript,33,709,2405,2521,0.9539865132883776,29751
foundation-sites,foundation,13,0,HTML,79,2958,8180,8229,0.9940454490217523,29715
full-stack-fastapi-template,fastapi,5,0,TypeScript,9,367,253,419,0.60381861575179,29678
mpv,mpv-player,12,0,C,86,3211,9402,10245,0.9177159590043924,29668
fabric.js,fabricjs,14,0,JavaScript,164,2223,5729,6127,0.9350416190631631,29629
Real-ESRGAN,xinntao,3,0,Python,10,21,169,699,0.24177396280400573,29609
winutil,ChrisTitusTech,2,0,PowerShell,17,762,1538,1721,0.8936664729808251,29590
lossless-cut,mifi,8,0,TypeScript,99,192,1350,1527,0.8840864440078585,29571
Reactive-Resume,AmruthPillai,4,0,TypeScript,95,633,1238,1444,0.8573407202216067,29551
leakcanary,square,9,0,Kotlin,43,919,1512,1610,0.9391304347826087,29548
bubbletea,charmbracelet,5,0,Go,55,571,259,326,0.7944785276073619,29547
AI-Expert-Roadmap,AMAI-GmbH,4,0,JavaScript,0,13,46,65,0.7076923076923077,29536
react-boilerplate,react-boilerplate,10,0,JavaScript,16,715,1822,1905,0.9564304461942257,29507
project-guidelines,elsewhencode,7,0,JavaScript,0,114,29,38,0.7631578947368421,29506
hutool,dromara,10,0,Java,148,420,2876,2879,0.9989579715178881,29500
influxdb,influxdata,11,0,Rust,87,10254,11723,13744,0.8529540162980209,29497
editor.js,codex-team,9,0,TypeScript,100,860,919,1503,0.6114437791084497,29492
uppy,transloadit,9,0,TypeScript,132,2956,2234,2373,0.9414243573535609,29490
phantomjs,ariya,14,1,C++,0,562,4731,4745,0.9970495258166491,29482
Umi-OCR,hiroi-sora,2,0,Python,30,45,474,645,0.7348837209302326,29471
cline,cline,0,0,TypeScript,48,123,560,899,0.6229143492769744,29455
kafka,apache,13,0,Java,0,10625,0,0,0,29450
500lines,aosabook,11,0,JavaScript,0,175,39,70,0.5571428571428572,29400
OpenAPI-Specification,OAI,10,0,Markdown,12,1245,2118,2289,0.9252948885976409,29369
netron,lutzroeder,14,0,JavaScript,2,1,1153,1173,0.9829497016197783,29364
Mr.-Ranedeer-AI-Tutor,JushBJJ,1,0,Unknown,3,19,34,47,0.723404255319149,29346
backstage,backstage,5,0,TypeScript,404,17683,6184,6544,0.9449877750611247,29328
Hover,IanLunn,11,0,SCSS,10,23,83,107,0.7757009345794392,29326
apollo,apolloconfig,8,0,Java,41,1419,3153,3293,0.9574855754631035,29325
particles.js,VincentGarreau,10,0,JavaScript,6,21,106,407,0.26044226044226043,29320
unsloth,unslothai,1,0,Python,10,285,635,1339,0.47423450336071693,29311
roop,s0md3v,1,0,Python,6,82,0,0,0,29292
comprehensive-rust,google,2,0,Rust,0,2001,212,318,0.6666666666666666,29283
GPTs,linexjlin,1,0,Unknown,0,45,21,27,0.7777777777777778,29282
tqdm,tqdm,9,0,Python,131,287,584,1012,0.5770750988142292,29270
stats,exelban,5,0,Swift,282,399,1901,1917,0.9916536254564423,29268
servo,servo,13,0,Rust,0,18464,9902,13029,0.7599969299255507,29258
